as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,revenue_segment,role_taxonomy,priority_level,brand_score_status
2026-04-18,7d,7,최근 7일,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,유지,재구매확장기여,정상 유지,limited
